TVDSS,FORMATION_PRESSURE,Normal Hydrosattic Pressure (psia),Mobility (mD/cp),FLUID_TYPE
4680,3432.1,2042.69844,43.89,Gas
4680,3428.1,2042.69844,,Gas
4707,3433,2054.398431,31.95,Gas
4737,3435.1,2067.398421,106.76,Gas
4759,3437.1,2076.931747,44.05,Gas
4759,3437,2076.931747,,Gas
4783,3439.2,2087.331739,80.77,Gas
4783,3438.8,2087.331739,,Gas
4795,3440.2,2092.531735,,Gas
4811,3440.7,2099.465063,47.96,Gas
4811,3441.3,2099.465063,,Gas
4839,3442.8,2111.598387,180.68,Gas
4839,3442.5,2111.598387,,Gas
4860,3445,2120.69838,19.6,Gas
4860,3446,2120.69838,,Gas
4878,3448.6,2128.498374,143.56,Gas
4878,3443.8,2128.498374,,Gas
4887,3450.8,2132.398371,6.33,Gas
4887,3445.6,2132.398371,,Gas
4901,3450.8,2138.465033,1.33,Gas
4927,3451.5,2149.731691,0.47,Gas
4931.5,3451.6,2151.68169,Good,Gas
4941,3451.5,2155.798353,,Gas
4942,3453.1,2156.231686,,Gas
4947,3454,2158.398351,12.62,Oil
4953,3456.7,2160.998349,0.07,Oil
4959,3458.9,2163.598347,10.24,Oil
4965,3459.3,2166.198345,0.93,Oil
4989,3469,2176.598337,24.64,Water
5021,3483.7,2190.464993,29.7,Water
5057,3499.3,2206.064981,1.58,Water
5077,3509.2,2214.731641,7.69,Water
5105,3518.4,2226.864965,14.5,Water
5132,3527.4,2238.564956,14.71,Water
5160,3539.8,2250.69828,,Water
5161,3538.4,2251.131613,23.03,Water
5185,3550.5,2261.531605,32.96,Water
5207,3562.2,2271.064931,70.21,Water
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
